Step: 0, Train_loss:179.565
2018-10-23 21:51:12.713609 ---> Validation_loss: 158.343
Step: 100, Train_loss:8.51359
Step: 200, Train_loss:1.59539
Step: 300, Train_loss:1.15263
Step: 400, Train_loss:0.71261
Step: 500, Train_loss:0.601513
Step: 600, Train_loss:0.695782
Step: 700, Train_loss:0.460001
Step: 800, Train_loss:0.540343
Step: 900, Train_loss:0.639722
Step: 1000, Train_loss:0.442371
Step: 1100, Train_loss:0.370753
Step: 1200, Train_loss:0.439832
Step: 1300, Train_loss:0.355432
Step: 1400, Train_loss:0.539966
Step: 1500, Train_loss:0.360577
Step: 1600, Train_loss:0.451159
Step: 1700, Train_loss:0.448086
Step: 1800, Train_loss:0.405866
Step: 1900, Train_loss:0.389994
Step: 2000, Train_loss:0.355849
Step: 2100, Train_loss:0.318515
Step: 2200, Train_loss:0.306574
Step: 2300, Train_loss:0.393723
Step: 2400, Train_loss:0.340689
Step: 2500, Train_loss:0.323493
Step: 2600, Train_loss:0.408362
Step: 2700, Train_loss:0.388336
Step: 2800, Train_loss:0.409397
Step: 2900, Train_loss:0.297304
Step: 3000, Train_loss:0.31619
Step: 3100, Train_loss:0.35694
Step: 3200, Train_loss:0.464452
Step: 3300, Train_loss:0.374847
Step: 3400, Train_loss:0.314446
Step: 3500, Train_loss:0.358233
Step: 3600, Train_loss:0.444477
Step: 3700, Train_loss:0.252603
Step: 3800, Train_loss:0.450738
Step: 3900, Train_loss:0.391065
Step: 4000, Train_loss:0.311583
Step: 4100, Train_loss:0.343656
Step: 4200, Train_loss:0.280979
Step: 4300, Train_loss:0.304001
Step: 4400, Train_loss:0.261588
Step: 4500, Train_loss:0.328561
Step: 4600, Train_loss:0.315289
Step: 4700, Train_loss:0.249533
Step: 4800, Train_loss:0.273371
Step: 4900, Train_loss:0.253141
Step: 5000, Train_loss:0.368129
2018-10-23 22:18:36.576713 ---> Validation_loss: 0.277601
Step: 5100, Train_loss:0.298119
Step: 5200, Train_loss:0.253473
Step: 5300, Train_loss:0.293216
