Step: 150, Train_loss:4.26633
Step: 200, Train_loss:2.23029
Step: 250, Train_loss:1.4764
Step: 300, Train_loss:1.42189
Step: 350, Train_loss:1.25515
Step: 400, Train_loss:0.87966
Step: 450, Train_loss:0.991762
Step: 500, Train_loss:0.896287
Step: 550, Train_loss:0.837688
Step: 600, Train_loss:0.865986
Step: 650, Train_loss:0.842073
Step: 700, Train_loss:0.587416
Step: 750, Train_loss:0.673263
Step: 800, Train_loss:0.62573
Step: 850, Train_loss:0.618535
Step: 900, Train_loss:0.601458
Step: 950, Train_loss:0.737693
Step: 1000, Train_loss:0.614607
Step: 1050, Train_loss:0.612394
Step: 1100, Train_loss:0.60837
Step: 1150, Train_loss:0.517898
Step: 1200, Train_loss:0.55871
Step: 1250, Train_loss:0.484267
Step: 1300, Train_loss:0.578054
Step: 1350, Train_loss:0.509559
Step: 1400, Train_loss:0.636629
Step: 1450, Train_loss:0.447548
Step: 1500, Train_loss:0.551821
Step: 1550, Train_loss:0.438394
Step: 1600, Train_loss:0.400753
Step: 1650, Train_loss:0.505927
Step: 1700, Train_loss:0.500696
Step: 1750, Train_loss:0.48114
Step: 1800, Train_loss:0.617903
Step: 1850, Train_loss:0.507173
Step: 1900, Train_loss:0.431936
Step: 1950, Train_loss:0.576855
Step: 2000, Train_loss:0.35193
Step: 2050, Train_loss:0.486028
Step: 2100, Train_loss:0.481719
Step: 2150, Train_loss:0.457623
Step: 2200, Train_loss:0.464563
Step: 2250, Train_loss:0.462444
Step: 2300, Train_loss:0.376372
Step: 2350, Train_loss:0.45568
Step: 2400, Train_loss:0.456782
Step: 2450, Train_loss:0.521433
Step: 2500, Train_loss:0.520348
Step: 2550, Train_loss:0.482126
Step: 2600, Train_loss:0.543955
Step: 2650, Train_loss:0.463556
Step: 2700, Train_loss:0.487876
Step: 2750, Train_loss:0.407639
Step: 2800, Train_loss:0.503133
Step: 2850, Train_loss:0.493874
Step: 2900, Train_loss:0.460215
Step: 2950, Train_loss:0.333052
Step: 3000, Train_loss:0.447722
Step: 3050, Train_loss:0.420807
Step: 3100, Train_loss:0.419358
Step: 3150, Train_loss:0.430128
Step: 3200, Train_loss:0.477512
Step: 3250, Train_loss:0.442015
Step: 3300, Train_loss:0.398251
Step: 3350, Train_loss:0.418855
Step: 3400, Train_loss:0.437451
Step: 3450, Train_loss:0.475316
Step: 3500, Train_loss:0.429343
Step: 3550, Train_loss:0.452506
Step: 3600, Train_loss:0.428762
